teacher,reverse_steps,s2_rbf_mmd,generated_to_observed_mean,generated_to_observed_median,generated_to_observed_max,observed_to_generated_mean,observed_to_generated_median,observed_to_generated_max,reverse_sampling_seconds,generated_sample_norm_error
heat,128,0.04490228490989068,0.23143345437988244,0.19217543416516758,0.8951736194330254,0.03573691820340559,0.032278875813276216,0.11211148414285196,82.34647537022829,1.235990476633475e-17
heat,256,0.04458075014164076,0.2313542677689301,0.1919254258919391,0.9040618117219669,0.036289890290335844,0.03447224087687398,0.10461568777901122,158.2710191309452,1.3660947373317356e-17
heat,512,0.044475573505318944,0.2304356600805908,0.19328960792918123,0.9062197012941562,0.036500096745564196,0.035069924864602975,0.09602141792957744,324.40099143609405,1.4799359654427136e-17
heat,1000,0.044497378811797494,0.2301935116979118,0.19222723601387928,0.9048876793328128,0.03572133701239339,0.033672957331780336,0.11006701386809217,631.0984184332192,1.4690939437178585e-17
varadhan,128,0.0463085371019496,0.23148143083770417,0.19248254357092145,0.8644673856999274,0.0402648102167393,0.037992166753527276,0.14707092902643015,85.44258426874876,1.5449880957918438e-17
varadhan,256,0.04621766849247033,0.23157953882146226,0.19147593718169456,0.8751538308849329,0.03717708864248558,0.03419650654878136,0.14834792829426083,157.7053903117776,1.452830911130576e-17
varadhan,512,0.04612790240840958,0.2311491692992332,0.1920613343092273,0.8923120663176752,0.03807569386773689,0.035106483421125614,0.13169396279534562,314.1547669544816,1.3660947373317356e-17
varadhan,1000,0.04608992252789046,0.2311057587132883,0.19278038542207096,0.9001435215907484,0.03748570112302655,0.03365281161756855,0.13652487864071508,620.8180749937892,1.4474099002681484e-17
malliavin,128,0.1583002947037394,0.27867402923051177,0.24822567255171057,0.8956324220671792,0.043444373174885434,0.0386641792556333,0.13293494121033808,79.24209468439221,1.463672932855431e-17
malliavin,256,0.15859218526503205,0.2783728703060561,0.25121427785337735,0.8801795063725222,0.04562051029318552,0.04101169472339867,0.14180122846543725,158.31188245862722,1.360673726469308e-17
malliavin,512,0.15893559724446837,0.27868170709424794,0.25254205986635175,0.8723687680396782,0.04462560637538232,0.04237776385025098,0.13168249865642978,322.91401175782084,1.441988889405721e-17
malliavin,1000,0.15888521345155626,0.2788903925314941,0.25137108745173237,0.8705937303382456,0.045513555214785006,0.04397840481460419,0.12370387041928281,618.787007637322,1.3444106938820255e-17
