dataset,method,mmd,sliced_wasserstein,nan_rate,coverage_fraction,mean_nearest_dist
8gmm,raw,0.0007450282573699951*,1.266025531813675*,0.0*,1.0*,0.23255786299705505*
8gmm,binned,0.0008390247821807861,1.2883690580724172,0.0,1.0,0.24016313254833221
8gmm,nw,0.001619189977645874,1.297657948111473,0.0,1.0,0.3437274396419525
8gmm,knn_nw,0.014650195837020874,2.9501067280724156,0.0,1.0,2.8363420963287354
checkerboard,raw,0.0036777853965759277,0.9835562115458759*,0.0*,,
checkerboard,binned,0.001570373773574829*,1.0277160197177941,0.0,,
checkerboard,nw,0.002656012773513794,1.0276025591397178,0.0,,
checkerboard,knn_nw,0.014862209558486938,3.641052326125541,0.0,,
swissroll,raw,0.0015880465507507324,1.6940482195222943,0.0*,,
swissroll,binned,0.00046196579933166504*,1.6860940103724489*,0.0,,
swissroll,nw,0.0013956725597381592,1.742007476994616,0.0,,
swissroll,knn_nw,0.010081812739372253,2.6113320502730892,0.0,,
