seed,config_key,method,mmd_rbf,sliced_wasserstein,nan_rate,elapsed_seconds,var_H,var_residual,mean_residual_norm
0,baseline,mirafzali,0.0006200671195983887,1.283567508746918,0.0,205.88,,,
0,residual_nw__a1.0_bw1.0,mirafzali_residual_nw,-6.383657455444336e-05,1.286126752327482,0.0,213.81,2.998028516769409,0.7719009518623352,0.8538531064987183
0,residual_knn_nw__a1.0_k128_bw0.5,mirafzali_residual_knn_nw,-1.043081283569336e-05,1.2867405582903784,0.0,217.15,2.998028516769409,0.7719009518623352,0.8538531064987183
0,residual_knn_nw__a1.0_k1024_bw0.5,mirafzali_residual_knn_nw,-6.383657455444336e-05,1.2861490407664504,0.0,217.73,2.998028516769409,0.7719009518623352,0.8538531064987183
1,baseline,mirafzali,0.0008580982685089111,1.3015501749815397,0.0,205.67,,,
1,residual_nw__a1.0_bw1.0,mirafzali_residual_nw,0.00043004751205444336,1.2932104733971284,0.0,213.86,3.038945198059082,0.836665153503418,0.8717871308326721
1,residual_knn_nw__a1.0_k128_bw0.5,mirafzali_residual_knn_nw,0.00030687451362609863,1.2929396123351966,0.0,217.37,3.038945198059082,0.836665153503418,0.8717871308326721
1,residual_knn_nw__a1.0_k1024_bw0.5,mirafzali_residual_knn_nw,0.0002702176570892334,1.2949755819793198,0.0,217.82,3.038945198059082,0.836665153503418,0.8717871308326721
2,baseline,mirafzali,0.008789122104644775,1.2497667474613205,0.0,205.44,,,
2,residual_nw__a1.0_bw1.0,mirafzali_residual_nw,0.00968971848487854,1.2518185461999556,0.0,213.64,3.032075881958008,0.7917302846908569,0.8625373840332031
2,residual_knn_nw__a1.0_k128_bw0.5,mirafzali_residual_knn_nw,0.009452491998672485,1.252427289392475,0.0,217.3,3.032075881958008,0.7917302846908569,0.8625373840332031
2,residual_knn_nw__a1.0_k1024_bw0.5,mirafzali_residual_knn_nw,0.009524136781692505,1.2525394165164818,0.0,218.22,3.032075881958008,0.7917302846908569,0.8625373840332031
